Date,AAPL,JNJ,JPM,NVDA,T,TSLA,WMT,XOM
2023-11-01,172.47802734375,140.64093017578125,134.17588806152344,42.302459716796875,14.335418701171875,205.66000366210938,53.82648849487305,99.41657257080078
2023-11-02,176.0471649169922,142.10702514648438,136.5708465576172,43.48282241821289,14.47343635559082,218.50999450683594,54.0386962890625,102.6821517944336
2023-11-03,175.13504028320312,143.14749145507812,138.0966796875,44.98102569580078,14.611454963684082,219.9600067138672,53.7579231262207,101.43050384521484
2023-11-06,177.6929168701172,143.4879913330078,139.13961791992188,45.726627349853516,14.491838455200195,219.27000427246094,53.82975387573242,99.63302612304688
2023-11-07,180.26071166992188,142.73129272460938,139.07203674316406,45.93052291870117,14.574649810791016,222.17999267578125,54.08114242553711,98.07080841064453
2023-11-08,181.32151794433594,142.21109008789062,139.7576904296875,46.5491943359375,14.399827003479004,222.11000061035156,53.64039611816406,96.86622619628906
2023-11-09,180.8456573486328,139.439697265625,139.34242248535156,46.92498779296875,14.381425857543945,209.97999572753906,53.516334533691406,96.89445495605469
2023-11-10,185.0448760986328,139.2788848876953,141.40904235839844,48.30924987792969,14.390626907348633,214.64999389648438,54.257442474365234,97.6379165649414
2023-11-13,183.45652770996094,139.63832092285156,140.78135681152344,48.59410095214844,14.335418701171875,223.7100067138672,54.743892669677734,98.6636962890625
2023-11-14,186.0773162841797,139.6666717529297,143.3501434326172,49.629547119140625,14.381425857543945,237.41000366210938,54.734092712402344,99.0435791015625
2023-11-15,186.64315795898438,140.74497985839844,144.60557556152344,48.86195755004883,14.5010404586792,242.83999633789062,55.429500579833984,98.4452896118164
2023-11-16,188.33084106445312,141.974609375,146.25692749023438,49.45363998413086,14.611454963684082,233.58999633789062,50.94367980957031,97.3056411743164
2023-11-17,188.3109893798828,141.68136596679688,147.57997131347656,49.27174377441406,14.629857063293457,234.3000030517578,50.718414306640625,99.67987823486328
2023-11-20,190.05816650390625,142.93038940429688,148.03382873535156,50.382144927978516,14.813880920410156,235.60000610351562,50.702091217041016,99.24301147460938
2023-11-21,189.2540740966797,144.0840301513672,147.72479248046875,49.91739273071289,14.89669132232666,241.1999969482422,50.88491439819336,99.20503234863281
2023-11-22,189.919189453125,143.79803466796875,148.0724639892578,48.69004821777344,14.878288269042969,234.2100067138672,50.49641036987305,98.77767181396484
